26,Hong Kong, tests performed,,4/21/2020,https://data.gov.hk/en-data/dataset/hk-dh-chpsebcddr-novel-infectious-agent/resource/a88635eb-1a6d-4dba-952f-f37cb165c24f,Department of Health,,4,145640,19.296,,,,,"Centre for Health Protection, Department of Health",https://www2.chp.gov.hk/search/en/chp_search_result.php?q=Statistics+on+Testing+for+COVID-19+in+Hong+Kong&fq_yr=&fq_ct=&fq_ft=&pq%5B%5D=COVID-19+Virus&sort=&csrf=f41b48912ee32b344b9d9ee98f793d5c&page=1,The number of tests performed.
27,Hungary, tests performed,HUN,4/26/2020,https://atlo.team/koronamonitor/,Government of Hungary,Made available by Atlo.team,52,63505,6.6,2704,0.281,2705,0.281,Government of Hungary,https://atlo.team/koronamonitor/,The number of tests performed.
28,Iceland, units unclear,ISL,4/24/2020,https://www.covid.is/tolulegar-upplysingar,Office of the Director of Public Health,,58,45930,133.818,685,1.996,501,1.46,Office of the Director of Public Health,https://www.covid.is/tolulegar-upplysingar,"The source reports this as the 'number of samples tested'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
29,India, people tested,IND,4/24/2020,https://github.com/datameet/covid19,Indian Council of Medical Research,Made available by DataMeet on Github,24,525667,0.38,40495,0.029,,,Indian Council of Medical Research,https://github.com/datameet/covid19,The number of people tested.
30,India, samples tested,IND,4/26/2020,https://github.com/datameet/covid19,Indian Council of Medical Research,Made available by DataMeet on Github,33,625309,0.452,45352,0.033,41589,0.03,Indian Council of Medical Research,https://github.com/datameet/covid19,The number of samples tested.
31,Indonesia, people tested,IDN,4/26/2020,https://covid19.disiplin.id/,"Emerging infections, Indonesian Ministry of Health",,37,56974,0.209,4433,0.016,2775.667,0.01,"Emerging infections, Indonesian Ministry of Health",https://covid19.kemkes.go.id/,The number of cases tested.
32,Indonesia, units unclear,IDN,4/25/2020,https://covid19.disiplin.id/,"Emerging infections, Indonesian Ministry of Health",,36,52541,0.193,1978,0.007,1726.667,0.006,"Emerging infections, Indonesian Ministry of Health",https://covid19.kemkes.go.id/,The number of cases tested.
33,Iran, tests performed,IRN,4/25/2020,http://web.archive.org/web/20200426015639/http://irangov.ir/detail/337989,Government of Iran,,17,410075,4.906,10148,0.121,,,Government of Iran,http://irangov.ir/,The number of tests performed.
34,Ireland, units unclear,IRL,4/21/2020,https://www.gov.ie/en/press-release/1826d2-statement-from-the-national-public-health-emergency-team-tuesday-21-/,Department of Health,,7,111584,22.828,,,,,Department of Health,https://www.gov.ie/en/publications/?&type=press-releases&organisation=department-of-health,"The units are unclear. Some press releases mention ""tests carried out"", while others give figures for ""people tested""."
35,Israel, tests performed,ISR,4/21/2020,https://t.me/s/MOHreport,Israel Ministry of Health,Made available by Idan Dardikman on Github,80,261266,29.984,13371,1.535,10873,1.248,Ministry of Health,https://t.me/s/MOHreport,The number of tests performed.
36,Italy, people tested,ITA,4/25/2020,https://github.com/pcm-dpc/COVID-19/tree/master/dati-andamento-nazionale,Presidency of the Council of Ministers,Made available by the Department of Civil Protection on GitHub,7,1186526,20.066,,0.654,,0.964,Ministero della Salute,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto,The number of people tested.
37,Italy, tests performed,ITA,4/25/2020,https://github.com/pcm-dpc/COVID-19/tree/master/dati-andamento-nazionale,Presidency of the Council of Ministers,Made available by the Department of Civil Protection on GitHub,62,1707743,28.88,65387,1.106,64830.667,1.096,Ministero della Salute,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5351&area=nuovoCoronavirus&menu=vuoto,The number of tests performed.
38,Japan, people tested,JPN,4/25/2020,https://github.com/reustle/covid19japan-data,"Ministry of Health, Labor and Welfare Press Release",Made available by Shane Reustle on Github,59,147454,1.166,,,,,"Ministry of Health, Labor and Welfare Press Release",https://www.mhlw.go.jp/stf/houdou/houdou_list_202004.html,The number of people tested.
39,Japan, tests performed,JPN,4/23/2020,https://www.mhlw.go.jp/content/10906000/000625186.pdf,"Ministry of Health, Labor and Welfare Press Release",Implementation status of PCR tests for new coronavirus in Japan (based on the date on which the results were determined). Preliminary data,66,221376,1.75,7770,0.061,7911.667,0.062,"Ministry of Health, Labor and Welfare Press Release",https://www.mhlw.go.jp/stf/houdou/houdou_list_202004.html,The number of tests performed.
40,Kazakhstan, tests performed,KAZ,4/25/2020,https://hls.kz/,Kazakhstan National Center for Public Health,,44,180502,9.613,15997,0.852,13765,0.733,Kazakhstan National Center for Public Health,https://hls.kz/,The number of tests performed.
41,Kenya, units unclear,KEN,4/24/2020,https://twitter.com/MOH_Kenya/status/1253661651062140930,Kenya Ministry of Health,,33,16738,0.313,659,0.012,678,0.012,Ministry of Health,http://www.health.go.ke,"Units are unclear, and could refer to the number of samples tested, or people tested."
42,Latvia, tests performed,LVA,4/26/2020,https://data.gov.lv/dati/eng/dataset/covid-19,Center for Disease Prevention and Control,Collected from the Latvian Open Data Portal,58,47617,25.154,1874,0.99,2192,1.158,Center for Disease Prevention and Control,https://data.gov.lv/dati/eng/dataset/covid-19,The number of tests performed.
43,Lithuania, samples analyzed,LTU,4/26/2020,http://sam.lrv.lt/lt/naujienos/koronavirusas,Ministry of Health,,36,104488,36.631,5540,1.942,6965.667,2.442,Ministry of Health,http://sam.lrv.lt/lt/naujienos/koronavirusas,"The number of analysed samples. Note that from other countries, we see that such a label can be consistent with figures relating to the number of individuals tested."
44,Luxembourg, people tested,LUX,4/25/2020,https://gouvernement.lu/en/dossiers.gouv_msan%2Ben%2Bdossiers%2B2020%2Bcorona-virus.html,Luxembourg Government situation update,,20,38514,63.771,732,1.212,809,1.339,Luxembourg Government situation update,https://gouvernement.lu/en/dossiers.gouv_msan%2Ben%2Bdossiers%2B2020%2Bcorona-virus.html#bloub-0,The number of tests performed.
45,Malaysia, cases tested,MYS,4/26/2020,http://www.moh.gov.my/index.php/pages/view/2019-ncov-wuhan,Ministry of Health Malaysia,,54,131491,4,4521,0.138,4695,0.143,Ministry of Health Malaysia,http://www.moh.gov.my/index.php/pages/view/2019-ncov-wuhan,"The number of cases tested, including pending."
46,Mexico, cases tested,MEX,4/24/2020,https://datos.gob.mx/busca/dataset/informacion-referente-a-casos-covid-19-en-mexico,Health Secretary,,115,57261,0.428,,0.001,,0.006,Health Secretary,https://datos.gob.mx/busca/dataset/informacion-referente-a-casos-covid-19-en-mexico,The number of cases tested.
47,Morocco, people tested,MAR,4/25/2020,https://github.com/RedaElmar/COVID-19_Morocco/blob/master/COVIDMA.csv,Morocco Ministry of Health,Made available by Reda Elmar on GitHub,50,25443,0.686,1510,0.041,1852.667,0.05,Morocco Ministry of Health,https://www.sante.gov.ma/Pages/Accueil.aspx,The number of cases tested.
48,Myanmar, samples tested,,4/25/2020,https://mohs.gov.mm/Main/content/publication/2019-ncov,Myanmar Ministry of Health and Sports,,20,6245,0.114,470,0.009,266.333,0.005,Myanmar Ministry of Health and Sports,https://mohs.gov.mm/Home,The number of samples tested.
49,Nepal, people tested,NPL,4/25/2020,https://github.com/raunakms/covid19nepal/blob/master/data/data_total.tsv,Ministry of Health and Population,Made available on GitHub by Raunak Shrestha,65,9666,0.319,264,0.009,217.333,0.007,Ministry of Health and Population,https://covid19.mohp.gov.np/#/,The number of people tested.
50,Netherlands, people tested,NLD,4/23/2020,https://www.rivm.nl/sites/default/files/2020-04/COVID-19_WebSite_rapport_20200424_1014_0.pdf,Dutch National Institute for Public Health and the Environment - 24 April update,Daily figure added to last available cumulative figure from the 24 April update,33,194617,11.327,4444,0.259,6170.667,0.359,Dutch National Institute for Public Health and the Environment,https://www.rivm.nl/coronavirus-covid-19/grafieken,The number of people tested.
51,New Zealand, units unclear,,4/25/2020,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-current-situation/covid-19-current-cases,Ministry of Health,,48,120981,25.025,5966,1.234,6568,1.359,New Zealand Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-current-situation/covid-19-current-cases,The number of tests performed.
52,Nigeria, samples tested,NGA,4/23/2020,http://covid19.ncdc.gov.ng/,Nigeria Centre for Disease Control,,4,10061,0.049,,,,,Nigeria Centre for Disease Control,https://ncdc.gov.ng/diseases/sitreps/?cat=14&name=An%20update%20of%20COVID-19%20outbreak%20in%20Nigeria,The number of samples tested.
53,Norway, people tested,NOR,4/24/2020,https://www.fhi.no/contentassets/ca5914bd0aa14e15a17f8a7d48fa306a/2020.04.24-dagsrapport-norge-covid-19.pdf,Norwegian Institute of Public Health,,40,155125,28.465,3030,0.556,3282,0.602,Norwegian Institute of Public Health,https://www.fhi.no/sv/smittsomme-sykdommer/corona/dags--og-ukerapporter/dags--og-ukerapporter-om-koronavirus/,"The number of people tested, not including testing in private health services."
54,Pakistan, tests performed,PAK,4/26/2020,http://www.covid.gov.pk/,Government of Pakistan,,46,144365,0.693,6218,0.03,6605.333,0.032,Government of Pakistan,http://www.covid.gov.pk/,The number of tests performed.
55,Panama, units unclear,PAN,4/25/2020,https://github.com/c0t088/DAP-Panama,Ministry of Health,Made available by c0t088 on Github,48,25400,5.922,1096,0.256,899.333,0.21,Ministry of Health,http://minsa.gob.pa,"Units are unclear, and could refer to the number of tests performed, or people tested."
56,Paraguay, samples tested,PRY,4/25/2020,https://github.com/torresmateo/covidpy-rest/blob/master/data/covidpy.csv,Ministry of Public Health and Social Welfare,Made available on Github by Mateo Torres,47,7615,1.078,308,0.044,344,0.049,Paraguay Ministry of Public Health and Social Welfare,https://www.mspbs.gov.py,The number of samples tested.
57,Peru, units unclear,PER,4/25/2020,https://www.gob.pe/institucion/minsa/noticias/131646-minsa-casos-confirmados-por-coronavirus-covid-19-ascienden-a-25-331-en-el-peru-comunicado-n-77,Ministry of Health,,49,218195,6.55,19846,0.596,15931.667,0.478,"Ministry of Health, Government of Peru",https://www.gob.pe/minsa,"Units are unclear, and could refer to the number of samples performed, or people tested."
58,Philippines, people tested,PHL,4/24/2020,http://www.doh.gov.ph/covid19tracker,Department of Health (DOH) Philippines,,10,72657,0.662,4008,0.037,3904.333,0.036,Department of Health,http://www.doh.gov.ph/covid19tracker,The number of people tested.
59,Poland, samples tested,POL,4/25/2020,http://covid.sikorski.pw/data/cov-tests.csv,Poland Ministry of Health,,48,278994,7.353,13793,0.364,13398.333,0.353,Ministry of Health of the Republic of Poland,https://www.gov.pl/web/zdrowie,The number of samples tested.
60,Portugal, cases tested,PRT,4/25/2020,https://github.com/dssg-pt/covid19pt-data/blob/master/data.csv,Ministry of Health,Made available on Github by Data Science for Social Good Portugal,42,226954,22.21,3938,0.385,6623.667,0.648,Portugal Ministry of Health Daily Situation Report,https://covid19.min-saude.pt/relatorio-de-situacao/,The number of cases tested.
61,Romania, tests performed,ROU,4/25/2020,https://github.com/adrianp/covid19romania,Ministry of Internal Affairs,Made available by Adrian-Tudor Panescu on Github,45,126645,6.532,5043,0.26,6762.667,0.349,Ministry of Internal Affairs,https://github.com/adrianp/covid19romania,The number of tests performed.
62,Russia, tests performed,RUS,4/26/2020,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14324,Government of the Russian Federation,,50,2877699,20.014,156199,1.086,158694.333,1.104,Government of the Russian Federation,https://rospotrebnadzor.ru/about/info/news/,The number of tests performed.
63,Rwanda, units unclear,RWA,4/25/2020,https://twitter.com/RwandaHealth/status/1254119542185492480,Rwanda Ministry of Health,,20,18556,1.418,1275,0.097,1221.333,0.093,Rwanda Ministry of Health,https://www.moh.gov.rw/,The number of samples tested.
64,Senegal, tests performed,SEN,4/25/2020,https://github.com/senegalouvert/COVID-19,Ministry of Health and Social Action,Made available by Senegal Ouvert on Github,54,7779,0.452,703,0.041,539.333,0.031,Ministry for Health and Social Action,http://www.sante.gouv.sn/actualites,"The figures are labelled as the number of 'tests performed'. Note that from other countries, we see that such a label can be consistent with figures relating to the number of individuals tested."
65,Serbia, people tested,SRB,4/25/2020,https://github.com/aleksandar-jovicic/COVID19-Serbia/blob/master/timeseries.csv,Ministry of Health,Made available by Aleksandar Jovi?i? on Github,59,59938,6.886,5051,0.58,3767.333,0.433,Ministry of Health,https://www.zdravlje.gov.rs/sekcija/345852/covid-19.php,The number of people tested.
66,Singapore, people tested,SGP,4/20/2020,https://www.moh.gov.sg/covid-19,Ministry of Health,,3,82644,13.925,,,,,Ministry of Health,https://www.moh.gov.sg/covid-19,The number of people tested.
67,Singapore, swabs tested,SGP,4/20/2020,https://www.moh.gov.sg/covid-19,Ministry of Health,,3,121774,20.518,,,,,Ministry of Health,https://www.moh.gov.sg/covid-19,The number of swabs tested.
68,Slovakia, samples analysed,SVK,4/26/2020,https://www.korona.gov.sk/,National Center of Health Information and the Office of the Government of the Slovak Republic,,31,70928,13.011,4839,0.888,4502.333,0.826,National Center of Health Information and the Office of the Government of the Slovak Republic,https://www.korona.gov.sk/,The number of analysed samples.
69,Slovenia, tests performed,SVN,4/25/2020,https://covid-19.sledilnik.org,National Institute of Public Health,Made available by Sledilnik.org,62,49813,23.925,1012,0.486,1300.667,0.625,National Institute of Public Health,https://covid-19.sledilnik.org,The number of tests performed.
70,South Africa, units unclear,,4/25/2020,https://github.com/dsfsi/covid19za,National Institute for Communicable Diseases (NICD),Made available by the University of Pretoria on Github,55,161004,2.742,8614,0.147,9076.667,0.155,National Institute for Communicable Diseases (NICD),https://twitter.com/nicd_sa,The number of people tested.
71,South Korea, cases tested,,4/26/2020,https://www.cdc.go.kr/board/board.es?mid=&bid=0030&act=view&list_no=367011&tag=&nPage=1,South Korea CDC,,92,598285,11.616,3124,0.061,4771.333,0.093,South Korea CDC,https://www.cdc.go.kr/board/board.es?mid=&bid=0030,The number of cases tested.
72,Spain, tests performed,ESP,4/13/2020,https://www.mscbs.gob.es/gabinete/notasPrensa.do?metodo=detalle&id=4864,"Press release from the Ministerio de Sanidad, Consumo y Bienestar Social",,1,930230,20.023,,,,,"Ministerio de Sanidad, Consumo y Bienestar Social",https://www.mscbs.gob.es/gabinete/notasPrensa.do?metodo=detalle&id=4864,The number of tests performed.
73,Sweden, people tested,SWE,4/19/2020,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige,Public Health Agency,,8,94900,9.376,,,,,Public Health Agency,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige,The number of people tested.
74,Switzerland, tests performed,CHE,4/26/2020,https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-lagebericht.pdf.download.pdf/COVID-19_Epidemiologische_Lage_Schweiz.pdf,Federal Office of Public Health,,31,249650,28.793,4350,0.502,4799.333,0.554,Federal Office of Public Health,https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/situation-schweiz-und-international.html,"The figures are labelled as the 'number of tests carried out' ('durchgefÅhrten Tests'). Note that from other countries, we see that such a label can be consistent with figures relating to the number of individuals tested."
75,Taiwan, tests performed,,4/24/2020,http://at.cdc.tw/24w3iV,Taiwan Centers for Disease Control (CDC),,50,59840,2.512,814,0.034,995.667,0.042,Taiwan Centers for Disease Control (CDC),https://www.cdc.gov.tw/en,"The figures are labelled in the source only as 'tested'. It is unclear whether this relates to the number of individuals tested, or the number of samples tested."
76,Thailand, people tested,THA,4/26/2020,https://ddc.moph.go.th/viralpneumonia/eng/index.php,Department of Disease Control,,48,51855,0.747,161,0.002,,,"Thailand, Department of Disease Control",https://ddc.moph.go.th/viralpneumonia/eng/situation.php,The number of people tested.
77,Tunisia, units unclear,TUN,4/24/2020,https://github.com/kik00/TnCovid-19/blob/master/data/latest.json,Tunisian Ministry of Health,,46,20408,1.715,559,0.047,515.667,0.043,Tunisian Ministry of Health,https://covid-19.tn/fr/tableau-de-bord/,"Figures are provided both in terms of the number of cases tested and the number of tests. It may be that in the case of Tunisia the distinction between the number of individuals tested and the number of tests performed is less significant, if few people are tested more than once."
78,Turkey, units unclear,TUR,4/25/2020,https://covid19.saglik.gov.tr/,Turkish Ministry of Health,,39,868565,10.36,38308,0.457,39207,0.468,Turkish Ministry of Health,https://covid19.saglik.gov.tr/,"The source reports this as the 'total number of tests'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
79,Uganda, samples tested,UGA,4/24/2020,https://twitter.com/MinofHealthUG/status/1253786806224654336,Press Release from the Office of the Director General,We sum the cumulative total provided for the previous day with the daily number of samples tested today.,18,18921,0.401,1533,0.032,1386.667,0.029,Press Release from the Office of the Director General,https://www.health.go.ug/moh/resources/,The number of samples tested.
80,United Kingdom, people tested,,4/25/2020,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,Public Health England/Department of Health and Social Care,,92,517836,7.691,73614,1.093,35548,0.528,Public Health England/Department of Health and Social Care,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,The number of people tested.
81,United Kingdom, tests performed,,4/25/2020,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,Public Health England/Department of Health and Social Care,,17,640792,9.517,28761,0.427,26952.333,0.4,Public Health England/Department of Health and Social Care,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,The number of tests performed.
82,United States, inconsistent units (COVID Tracking Project),,4/25/2020,https://covidtracking.com/api/us/daily.csv,COVID Tracking Project,,50,5184635,15.643,300833,0.908,238480,0.72,COVID Tracking Project,http://covidtracking.com/,"The data are an aggregation of figures released by individual states. The Project aim to report on the number of people tested, including private labs, but not all states report their figures in this way."
83,United States, specimens tested (CDC),,4/16/2020,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/testing-in-us.html,United States CDC,,89,389096,1.174,13131,0.04,12706.333,0.038,US CDC,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/testing-in-us.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Ftesting-in-us.html,The number of specimens tested in public labs only.
84,Uruguay, tests performed,URY,4/26/2020,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/actualizacion-informacion-relacion-coronavirus-covid-19-uruguay-6,Ministry of Public Health,,29,16496,4.721,662,0.189,654.667,0.187,Ministry of Public Health,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias,The number of tests performed.
85,Vietnam, units unclear,VNM,4/25/2020,http://web.archive.org/web/20200426020456/https://ncov.moh.gov.vn/documents/20182/6848000/infographicVN1120.jpg/b42a0731-f951-4e69-9cda-8b38ecb3d9cb,Vietnamese Ministry of Health,,34,212142,2.157,,,,,Vietnamese Ministry of Health,https://ncov.moh.gov.vn/,"The source reports this as the 'number of samples tested'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
